timeseries,T,P,E,Q_obs,Q_sim,U_soil,S_snow,Q_snow,Q_inter,E_eal,Q_of,Q_g,Q_bf,L_soil
2019-07-04,25.04583333333333,0,0.8,0.09,0.49497104642089806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7329190802452163,0.8414451778249611
2019-07-05,26.329166666666666,18,1.3,0.09,0.5634438618282092,0.97,0.0,0.0,0.03858085825142949,0.0,0.0,12.61987571990419,1.9633750031772548,0.8414451778249611
2019-07-06,26.71249999999999,21,1.6,0.6687037037037068,0.6464616409718988,0.97,0.0,0.0,0.038074387753025456,0.0,0.0,15.342368961289532,2.2465825608602907,0.8318431259122225
2019-07-07,26.2,0,1.2,0.6687037037037017,0.6303497889273889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1990267310134017,0.8235549123900726
2019-07-08,27.04166666666666,0,1.7,0.6687037037037017,0.6147463920198452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1524775665754885,0.8235549123900726
2019-07-09,27.84166666666667,7,2.5,0.6687037037037068,0.6208323993744543,0.97,0.0,0.0,0.03763721706580251,0.0,0.0,2.731609378982994,2.164736672654913,0.8235549123900726
2019-07-10,28.091666666666665,0,2.7,0.09,0.6061194213898717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.118913362770109,0.8246092299852154
2019-07-11,28.950000000000003,0,2.7,0.09,0.5916833994056838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0740600441804697,0.8246092299852154
2019-07-12,28.48333333333333,0,2.2,0.09,0.5781546658742186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0301561840367732,0.8246092299852154
2019-07-13,28.08750000000001,0,2.0,0.09,0.5653810273471341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9871816841307062,0.8246092299852154
2019-07-14,27.74166666666667,0,2.3,0.09,0.5531496196177524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9451168716943512,0.8246092299852154
2019-07-15,25.941666666666663,0,1.4,0.09,0.5413170097941095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9039424903944324,0.8246092299852154
2019-07-16,25.35,0,1.1,0.09,0.5298023067231671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8636396915171958,0.8246092299852154
2019-07-17,25.325,61,0.7,1.2574074074074084,0.8021337392159882,0.97,0.0,0.0,0.03769282817504674,0.0,0.0,46.45363629426999,2.8075241176928607,0.8246092299852154
2019-07-18,27.0375,0,1.4,1.2574074074074033,0.7842995570656986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.748094234474631,0.7731078591741323
2019-07-19,27.15833333333333,0,1.7,0.1,0.7664417627137652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6899223675267065,0.7731078591741323
2019-07-20,26.695833333333336,0,1.5,0.1,0.7493770164166351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.632981887065372,0.7731078591741323
2019-07-21,27.8625,18,1.6,0.1,0.8034971956483348,0.97,0.0,0.0,0.03497633328622242,0.0,0.0,11.082665792879716,2.8118454361223133,0.7731078591741323
2019-07-22,27.79583333333333,0,1.5,0.1,0.7854751007728513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7523240789081904,0.7652254348072521
2019-07-23,27.745833333333337,0,1.9,0.1,0.7675779651758893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.694062674292848,0.7652254348072521
2019-07-24,28.045833333333324,0,2.5,0.1,0.7505016331446105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6370345515042226,0.7652254348072521
2019-07-25,26.14166666666667,7,2.2,0.1,0.7540967513965133,0.97,0.0,0.0,0.03456056638202254,0.0,0.0,2.695349751219126,2.638268972069682,0.7652254348072521
2019-07-26,27.59166666666665,0,2.6,0.1,0.7371368784187358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5824218945965853,0.766750033846
